time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-26 00:00:00+00:00,3,3,19,6
2025-11-27 00:00:00+00:00,4,4,5,3
2025-11-28 00:00:00+00:00,3,3,6,2
2025-11-29 00:00:00+00:00,27,8,22,5
2025-11-30 00:00:00+00:00,10,9,3,3
2025-12-01 00:00:00+00:00,39,13,11,5
2025-12-02 00:00:00+00:00,32,10,24,5
2025-12-03 00:00:00+00:00,118,36,14,4
2025-12-04 00:00:00+00:00,6,6,18,4
2025-12-05 00:00:00+00:00,19,10,68,8
2025-12-06 00:00:00+00:00,11,7,2,2
2025-12-07 00:00:00+00:00,13,8,22,2
2025-12-08 00:00:00+00:00,15,11,37,8
2025-12-09 00:00:00+00:00,7,5,5,5
