time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-11 00:00:00+00:00,1,1,5,2
2023-01-12 00:00:00+00:00,2,1,32,2
2023-01-13 00:00:00+00:00,6,2,33,2
2023-01-14 00:00:00+00:00,206,36,266,11
2023-01-15 00:00:00+00:00,214,44,166,26
2023-01-16 00:00:00+00:00,1,1,54,15
2023-01-17 00:00:00+00:00,5,4,49,6
2023-01-18 00:00:00+00:00,6,4,79,13
2023-01-19 00:00:00+00:00,2,1,57,5
2023-01-20 00:00:00+00:00,13,7,25,2
2023-01-21 00:00:00+00:00,23,7,71,2
2023-01-22 00:00:00+00:00,2,1,10,3
2023-01-23 00:00:00+00:00,30,11,46,11
2023-01-24 00:00:00+00:00,58,6,33,4
2023-01-25 00:00:00+00:00,176,14,48,7
2023-01-26 00:00:00+00:00,24,10,14,5
2023-01-27 00:00:00+00:00,9,6,8,2
2023-01-28 00:00:00+00:00,9,5,33,3
2023-01-29 00:00:00+00:00,6,3,3,1
2023-01-30 00:00:00+00:00,17,7,0,0
2023-01-31 00:00:00+00:00,26,8,5,2
2023-02-01 00:00:00+00:00,58,8,59,3
2023-02-02 00:00:00+00:00,64,7,0,0
2023-02-03 00:00:00+00:00,129,10,56,5
2023-02-04 00:00:00+00:00,4,3,8,2
2023-02-05 00:00:00+00:00,5,4,0,0
2023-02-06 00:00:00+00:00,55,8,2,1
2023-02-07 00:00:00+00:00,76,7,1,1
2023-02-08 00:00:00+00:00,57,7,8,2
2023-02-09 00:00:00+00:00,35,8,3,1
2023-02-10 00:00:00+00:00,99,15,41,6
2023-02-11 00:00:00+00:00,40,10,34,3
2023-02-12 00:00:00+00:00,5,3,1,1
2023-02-13 00:00:00+00:00,12,5,11,4
2023-02-14 00:00:00+00:00,4,3,34,3
2023-02-15 00:00:00+00:00,4,3,10,1
2023-02-16 00:00:00+00:00,3,2,8,3
2023-02-17 00:00:00+00:00,5,4,12,2
2023-02-18 00:00:00+00:00,4,3,0,0
2023-02-19 00:00:00+00:00,5,4,99,5
2023-02-20 00:00:00+00:00,6,5,2,1
2023-02-21 00:00:00+00:00,5,4,2,2
2023-02-22 00:00:00+00:00,4,3,0,0
2023-02-23 00:00:00+00:00,5,4,1,1
2023-02-24 00:00:00+00:00,6,5,6,2
2023-02-25 00:00:00+00:00,3,2,26,1
2023-02-26 00:00:00+00:00,4,3,11,1
2023-02-27 00:00:00+00:00,5,4,1,1
2023-02-28 00:00:00+00:00,13,6,28,4
2023-03-01 00:00:00+00:00,17,7,13,1
2023-03-02 00:00:00+00:00,24,12,16,3
2023-03-03 00:00:00+00:00,4,3,0,0
2023-03-04 00:00:00+00:00,4,3,5,1
2023-03-05 00:00:00+00:00,3,2,0,0
2023-03-06 00:00:00+00:00,42,7,40,2
2023-03-07 00:00:00+00:00,18,4,3,1
2023-03-08 00:00:00+00:00,58,6,4,4
2023-03-09 00:00:00+00:00,254,6,13,1
2023-03-10 00:00:00+00:00,41,7,12,3
2023-03-11 00:00:00+00:00,90,6,40,7
2023-03-12 00:00:00+00:00,38,6,7,2
2023-03-13 00:00:00+00:00,80,17,12,1
2023-03-14 00:00:00+00:00,45,9,18,8
2023-03-15 00:00:00+00:00,7,4,5,3
2023-03-16 00:00:00+00:00,4,3,66,6
2023-03-17 00:00:00+00:00,5,4,2,2
2023-03-18 00:00:00+00:00,3,2,62,1
2023-03-19 00:00:00+00:00,4,3,2,1
2023-03-20 00:00:00+00:00,5,4,0,0
2023-03-21 00:00:00+00:00,7,6,0,0
2023-03-22 00:00:00+00:00,3,2,11,2
2023-03-23 00:00:00+00:00,4,3,6,2
2023-03-24 00:00:00+00:00,19,7,14,3
2023-03-25 00:00:00+00:00,6,3,1,1
2023-03-26 00:00:00+00:00,3,2,1,1
2023-03-27 00:00:00+00:00,6,5,0,0
2023-03-28 00:00:00+00:00,4,3,4,1
2023-03-29 00:00:00+00:00,4,3,12,1
2023-03-30 00:00:00+00:00,4,3,0,0
2023-03-31 00:00:00+00:00,74,4,96,2
2023-04-01 00:00:00+00:00,55,5,30,1
2023-04-02 00:00:00+00:00,14,4,6,4
2023-04-03 00:00:00+00:00,23,3,39,3
2023-04-04 00:00:00+00:00,44,4,108,4
2023-04-05 00:00:00+00:00,5,4,17,5
2023-04-06 00:00:00+00:00,52,7,19,4
2023-04-07 00:00:00+00:00,76,5,70,3
2023-04-08 00:00:00+00:00,7,4,0,0
2023-04-09 00:00:00+00:00,4,3,1,1
2023-04-10 00:00:00+00:00,45,9,79,3
2023-04-11 00:00:00+00:00,51,7,30,4
2023-04-12 00:00:00+00:00,42,8,58,6
2023-04-13 00:00:00+00:00,6,3,97,6
2023-04-14 00:00:00+00:00,4,3,3,3
2023-04-15 00:00:00+00:00,14,4,22,3
2023-04-16 00:00:00+00:00,18,6,4,2
2023-04-17 00:00:00+00:00,8,5,6,1
2023-04-18 00:00:00+00:00,4,3,2,2
2023-04-19 00:00:00+00:00,57,4,9,2
2023-04-20 00:00:00+00:00,63,9,125,3
2023-04-21 00:00:00+00:00,78,7,12,2
2023-04-22 00:00:00+00:00,92,9,63,3
2023-04-23 00:00:00+00:00,6,4,37,2
2023-04-24 00:00:00+00:00,93,8,59,3
2023-04-25 00:00:00+00:00,67,12,17,5
2023-04-26 00:00:00+00:00,174,13,89,4
2023-04-27 00:00:00+00:00,209,10,100,5
2023-04-28 00:00:00+00:00,246,9,32,3
2023-04-29 00:00:00+00:00,75,6,21,5
2023-04-30 00:00:00+00:00,42,5,19,4
2023-05-01 00:00:00+00:00,42,5,34,2
2023-05-02 00:00:00+00:00,103,11,71,5
2023-05-03 00:00:00+00:00,54,7,39,6
2023-05-04 00:00:00+00:00,18,4,9,3
2023-05-05 00:00:00+00:00,12,4,2,1
2023-05-06 00:00:00+00:00,7,5,0,0
2023-05-07 00:00:00+00:00,6,4,3,2
2023-05-08 00:00:00+00:00,6,4,2,1
2023-05-09 00:00:00+00:00,4,3,11,2
2023-05-10 00:00:00+00:00,20,4,28,5
2023-05-11 00:00:00+00:00,10,4,137,2
2023-05-12 00:00:00+00:00,81,5,14,3
2023-05-13 00:00:00+00:00,8,4,1,1
2023-05-14 00:00:00+00:00,5,3,6,1
2023-05-15 00:00:00+00:00,55,6,0,0
2023-05-16 00:00:00+00:00,30,5,2,1
2023-05-17 00:00:00+00:00,5,3,10,2
2023-05-18 00:00:00+00:00,6,4,95,1
2023-05-19 00:00:00+00:00,7,5,53,4
2023-05-20 00:00:00+00:00,6,4,2,2
2023-05-21 00:00:00+00:00,6,4,15,2
2023-05-22 00:00:00+00:00,9,6,39,4
2023-05-23 00:00:00+00:00,50,7,10,4
2023-05-24 00:00:00+00:00,98,6,40,6
2023-05-25 00:00:00+00:00,64,8,120,4
2023-05-26 00:00:00+00:00,64,6,55,6
2023-05-27 00:00:00+00:00,29,8,9,3
2023-05-28 00:00:00+00:00,5,3,15,2
2023-05-29 00:00:00+00:00,77,9,0,0
2023-05-30 00:00:00+00:00,177,12,21,3
2023-05-31 00:00:00+00:00,9,5,95,10
2023-06-01 00:00:00+00:00,9,3,29,4
2023-06-02 00:00:00+00:00,16,5,14,3
2023-06-03 00:00:00+00:00,8,5,4,3
2023-06-04 00:00:00+00:00,7,4,0,0
2023-06-05 00:00:00+00:00,11,7,15,3
2023-06-06 00:00:00+00:00,49,6,76,4
2023-06-07 00:00:00+00:00,3,2,21,5
2023-06-08 00:00:00+00:00,6,4,6,3
2023-06-09 00:00:00+00:00,7,5,101,1
2023-06-10 00:00:00+00:00,6,4,27,4
2023-06-11 00:00:00+00:00,6,4,28,5
2023-06-12 00:00:00+00:00,5,4,8,3
2023-06-13 00:00:00+00:00,6,4,0,0
2023-06-14 00:00:00+00:00,5,3,26,3
2023-06-15 00:00:00+00:00,7,5,4,2
2023-06-16 00:00:00+00:00,6,4,8,5
2023-06-17 00:00:00+00:00,5,3,38,3
2023-06-18 00:00:00+00:00,6,4,6,1
2023-06-19 00:00:00+00:00,9,6,2,1
2023-06-20 00:00:00+00:00,7,5,7,3
2023-06-21 00:00:00+00:00,7,5,41,5
2023-06-22 00:00:00+00:00,10,6,0,0
2023-06-23 00:00:00+00:00,6,4,4,4
2023-06-24 00:00:00+00:00,5,3,1,1
2023-06-25 00:00:00+00:00,6,4,0,0
2023-06-26 00:00:00+00:00,9,7,1,1
2023-06-27 00:00:00+00:00,6,5,2,2
2023-06-28 00:00:00+00:00,5,3,75,4
2023-06-29 00:00:00+00:00,6,4,21,4
2023-06-30 00:00:00+00:00,6,4,7,2
2023-07-01 00:00:00+00:00,6,4,3,1
2023-07-02 00:00:00+00:00,6,4,0,0
2023-07-03 00:00:00+00:00,7,5,3,3
2023-07-04 00:00:00+00:00,5,3,2,1
2023-07-05 00:00:00+00:00,24,5,11,7
2023-07-06 00:00:00+00:00,26,5,5,2
2023-07-07 00:00:00+00:00,35,6,12,5
2023-07-08 00:00:00+00:00,44,8,2,2
2023-07-09 00:00:00+00:00,8,4,5,1
